airtable_id,Base Model Extensions,Products,base_model_id,agv_type,base_model_name,last_updated,oem_link_public
recmWrEoOVNCK0g0L,recKUtxbe4c53mcOo,recOKjuG0d3CM4QGb,d614b90f-a1ab-4303-8eeb-6f4b148e37ae,Forklift AGV,STILL EXV iGo,,
recmicdSL1E0TiTTL,recia7Fp4tnXMLQAu,recBBqUSZt8j1X0G7,1462aaa3-b9d6-413e-8bb4-9c6a0c51e294,Forklift AGV,VisionNav VNR16,,
recn6F7VRgbTH0fBV,recYWwVFwvshY3h4G,recrVOMCBBGrwfcHw,c69fa33a-ae23-45f7-8be9-daddde5f9914,Tugger AGV,Toyota Movit TAE500 Autopilot,,
recnCggvDbHCpaHbc,rec3pbd3mssS561ry,recXwKYIHmb6IhqSX,cd36f478-c7d1-488b-a6ad-6785a9fa2bc0,Mobile AMR,MiR250,,
recnCxO0iH40XGKmn,recTFvlmtGW14vVz3,recdnqlAvLq45oHXs,387c3b6b-f256-475d-bf98-ca616b2b8f14,Forklift AGV,Geek+ F-Series (F20MT Forklift),,
recnDArplXNN16si3,rec9E0XxkjrTYrkLF,recXGEd8bUTkwFAyU,b51cdef9-ed6f-4792-9286-3ea1affdbc6d,Tugger AGV,DS Automotion FLEXIHAULER,,
recnHtbxgbVz6fXxo,recLuUYBVco4bMZrz,recYq2gEary73qL9U,1227b085-b8f1-486c-a325-3b801815f3b6,Forklift AGV,E80 Quad LGV,,
recnTAxyT2iOwjAAc,recGHlLgLVTmWw9Uc,recVF2rebPvDJ8DSd,de199078-256f-4cc2-b1b3-ff0d74aef6a6,Mobile AMR,UniMover U 1500,,
recnrNMBmlftEmsIE,recroA2AgsMtoyu2B,recrd7nL2NIJN93Tj,ee9ddfec-7031-42ea-8320-6bdfb89a4643,Forklift AGV,Linde L-MATIC core,,
recnsmsKBTLxkE3B6,recqq46bLapIMw4eu,rec1ZqlTiFr4tEVfD,5ee5c7b6-569c-4e19-9041-054cf63f3517,Forklift AGV,VisionNav VNST20,,
reco29VTnRbLwGb6z,reczlwgLcdzq3KVv1,recEvMTQC5Gi6NeGp,6113b1d7-0bd6-45ea-ad46-43fb01a534be,Forklift AGV,Jungheinrich ERC 213a,,
reco4NRjKEbi5O2Hx,recwrTRrk2zqSi1tz,rec5utZr8VI47oi9J,32fb8ad7-8772-4ced-ae99-302d5fab6fae,Forklift AGV,VisionNav VNP15,,
recokZ5YIXoxiparX,rec8gpFnq7dl6hhiI,recWToOh7NJUzzmZo,416f7024-6b28-4e0d-8f58-e7a6a8ad4666,Forklift AGV,STILL AXL iGo,,
recovkOHX6hk5bWoD,recpcPgJb7rpftxwp,recB2gYNWYug4WeoB,2def88a6-8447-40eb-9ae3-43dc35c2e9ff,Mobile AMR,MAXOLUTION AA015,,
recpC505GWj75rLFK,recJ2hkKdhWpNXGwE,recJ3iujQEbOuQDiS,8a6aa2c6-b49e-4a73-af4b-1a93c35a07bd,Mobile AMR,Movu ifollow iL 600,,
recpS3nydgZpHFe0o,recBg5aczoHpBxv6f,recU85zHdhcA5nF7C,c4eecaa4-6f44-432b-95c3-0bdcd83ccc49,Mobile AMR,MLR Mayesto,,
recpeNis3EC3zoKTz,recKDlvrE1idUeZYH,rec5VgErvHkq3gLya,49973613-40bd-447d-acee-bb79188f9156,Forklift AGV,Grenzebach FF1200S,,
recpjifkAgzC4d8Gp,recBQC4kxR8GOabGA,recg9GzBjqutceerZ,ecd3b08b-47a0-4288-9386-a867cb098b96,Mobile AMR,Grenzebach L600,,
recpnmj1CveM47l1L,reclw1DHLEJnWmTdG,recgSv6KWiNjcGtVl,fc03c901-2786-49af-be00-a4f2154cd0ab,Forklift AGV,DS ARNY,,
recq54tw9Kza7mvU2,recxyZFtkob4xql4c,recZaqpTPwWqsQepq,f569e72e-8678-4091-9589-fb725122dd41,Mobile AMR,DS Automotion AMY,,
recqEAjTbVSQsyIQq,rec9czRhXMcM5etcW,recBEPWRvHGYVdgXL,1da50c1a-f437-4818-97bd-575dafdee518,Mobile AMR,VisionNav VNKQ20,,
recqUOkKuS2AK7ffN,reck6oJai8nQfx18H,recOBZ1oftoR4UfJ2,5f1f8a9c-89cb-4cb8-9f09-507a59be10e3,Mobile AMR,GreyOrange Ranger RIL-L,,
recql0KJTSjdDGqRX,recIBjvlueDyUwcOv,recNxanyZi9KPsou0,2bbcb397-f454-4f1b-931a-6a10dc11371f,Tugger AGV,Kivnon K05 Underride,,
recr8KLBOJcsIjv3A,recZkOIaxsLPf6TmW,reccrWdXudV5YAo76,8af5b2de-af9f-42c2-825e-73736b8b40e8,Forklift AGV,Linde K-MATIC,,
recrHFL6bV723lXHM,recnMCxMAN8Ctz9K1,recEAhw44Kp3Il1bN,2be7b45c-24f7-4b1f-ae7f-2d6bf3657b09,Mobile AMR,OTTO 1200,,
recrdi9kXsRB8kSs1,rec3cCMqMyG9FtMXE,recjhG3pLc2zfWkT5,0c297d1f-05f5-4d6b-b77e-6dd327bcc9f3,Forklift AGV,E80 Trilateral LGV,,
recsvkJ4SuHPF2vC4,reckYIICO5FIBQC2I,rec0aDuAd3Rjj0ASZ,30b3e73b-2c25-458a-80bb-5c2267fe5303,Mobile AMR,ek robotics FAST MOVE,,
recsxhr2GK1FahM7K,recpdmx88oV1qPTXe,recY9E9FYs1A9a1R1,5d8e370d-d8fb-46e7-9fc8-f75931281e9d,Forklift AGV,Toyota Reflex RAE250 Autopilot,,
rectILP9CgKw2wlOY,reccMHq5rHXxQiYsZ,recgD0ZK9EDjVYcU7,d6fe1687-17a7-4507-a3a1-bea30005269f,Forklift AGV,MLR Phoenix,,
rectPC5hYTH4YaTCq,recJGwzzSttkvUppB,recp3wwBVefoBjwsb,233e332b-5f07-482d-8e42-9f1f1e18fdc7,Mobile AMR,Geek+ P1200R,,
rectbPilKOG7GMMMn,reciwPmaxlpwu1VbJ,recSg3JojuMr6FgZy,b92e0837-01a9-408d-b194-191a15631ff4,Mobile AMR,Omron LD-250,,
rectsIEZDI8opGYtY,rec6s86LBKCFblbPX,recr14QNE3J4m3pp5,dac0cc76-57f8-413c-86e5-61161769712b,Forklift AGV,Kivnon K55A Pallet Stacker,,
recu7Kbtr1VqbEfsC,rec69ZVZm5u2WsvuX,rec8JMIgCnSWXfD7E,11181fa1-2b58-4d82-bfd5-ce5c857771ee,Mobile AMR,Stäubli PF30,,
recu7yegX5D6L2TyL,recCvifXRCnDwmDro,recIfvAJu1RaFBX0q,d151c219-bce2-43f1-846d-b9ac6d5a66d2,Forklift AGV,KIVNON K50 Pallet Truck,,
recu8Xk8UlAvVmOjH,recPa9ZceVq8inOMo,recMMOvhlyYEj4vuv,5475fd59-d06f-43ea-bc6d-db13c7f7eb9c,Tugger AGV,Alstef CM,,
recuOsNtiRs7gMHPx,rechXHfIfIujT2Fnp,recpAiRQghmnSvZCo,36cd3c59-d932-49d4-9fd9-3a5edb5b0949,Mobile AMR,Grenzebach L1200S,,
recupwqtPmEsVMiWq,recYzifAvuLqgIUe5,recQgQpH0BgDF71lA,8f305802-ea37-4c2b-9ded-4ce3f4d790cd,Forklift AGV,DS LUCY,,
recuwsdkqBc03DGSe,rec0GW0lMicfTUqI5,recLyhQ1HmByZOjur,f6e102c3-9285-4f24-8fce-54b02fe8ff51,Mobile AMR,OTTO 750,,
recv2jpBfsIijrkNy,recblH1uoYe0A5Y7o,receklrVCS6XhZ67Q,f4b96286-d8b6-49f7-9b58-315ded263ea1,Tugger AGV,VisionNav VNQ50,,
recvEPSeRyFeN1wOf,recpI065ojwRv1aDa,rec6kM0iPNVjbji05,01ef5cc3-6d03-4174-b430-568d763e1ec7,Mobile AMR,GreyOrange Ranger RU-L,,
recvEydpnWVdii8Fz,recBR62Z1x9ePhm6V,recV1ZuwfTEwOIwSc,8d5fd72d-23c6-44df-be03-e6536e862b65,Mobile AMR,Geek+ P800R,,
recwCTSi3CajaaqET,recAKMOhHWGujDPGN,rec0JL0NAukuveYN2,836aa7bf-232d-40bf-9750-e149a69b6f13,Forklift AGV,VisionNav VNR20,,
recwhVrxzXpFnsfK2,recky8u8GUMNq7koP,recDfmE56iPzd7NGI,6081e9ca-2166-4bc5-aecc-02b0e5066a32,Mobile AMR,Geek+ P500R,,
recwzHVO7kBWlIlMW,recvxPu15TbCm4FW8,recxfxvERSmDQzIOI,af530434-7aa1-4509-9a5b-fc81b47d39e6,Mobile AMR,KNAPP Open Shuttle 100,,
recx92aNIBEj8czAo,recLC0uIJCh68Nrk4,receYcHGJdM6EoDTj,09e12f95-2e8d-4d09-8ce2-63d312efc21a,Tugger AGV,DS AMADEUS Tugger,,
recxCmyTFQqN92Jan,rechr7dBH755xbqiY,recqmpzQYXj49tdXb,709f6048-5737-4225-800f-5750532119f9,Forklift AGV,AGILOX OCF,,
recxpgueeUMZEPA7I,recPyMymQWBzus8YD,recHipEfxgszrikac,95e49227-0b30-484e-a27d-5d6be8d33b7b,Mobile AMR,AGILOX OFL,,
recxzztPQt6HPghtH,recCkGUxtc8Fmiinf,rec9AsznRkerzqrVy,d019df6b-d557-4203-9b20-be5345b057ef,Mobile AMR,Hikrobot Q2L-300A,,
recy7Wl3i8YrgziS0,recF1gn9vZajynIp0,recPwIYuTG4wbOyLX,e6096fac-779f-41c2-be41-50c659699bfd,Mobile AMR,Jungheinrich arculee XS,,
recyBEW69dWW8Gc30,recz93NMqwGEMNcLr,recnbAB6leRubMaAn,447f79ab-d1eb-499f-8cb7-ed695caf0eec,Forklift AGV,DS AMADEUS Classic,,
recyXCBFIDlEVcuzN,recw7fHNv5ux3J7Md,rechKCQGnekjWCjaD,3ff37ca1-3f73-4ba8-93a3-4a4ae6616a93,Mobile AMR,SAFELOG AGV L1,,
recyxRaBX2TQruv30,recS090MQAs0jV7Kp,recpHbENKVJ2wEByQ,82dc60ea-1525-455b-b62c-c815f3340a71,Tugger AGV,MLR Caesar,,
recz07YvRVfD4RrLd,rec5UA045WkmBqlgB,recVFJSFy3mQNmkbv,2882cd24-89d5-483d-b7dd-1cd387cf7795,Tugger AGV,Linde P-MATIC,,
reczDq4v43DtAAqSh,recvQyGKfNtVIaCQt,recyMxl97RQuPImPf,b2ad3069-4e8f-4a58-b111-1095b7016d0e,Mobile AMR,Grenzebach OL1200S,,
reczj4p0WenDSQbOE,reckevLvtAaBRkdlB,recfwNCI8tzbSpPtU,afef22cb-cdab-45d1-8176-5e02d4b77994,Forklift AGV,Hikrobot F1-1000U-A,,
