NACE Rev. 2.1 – Vollbaum · Framework v7 · Supplier-centric · Kunden-Perspektive;;;;;;;;;;;;;;;;
Alle Klassen = Anbieter · C2+C3 = Perspektive der Kunden dieser Anbieter · C5=K.O. (kein Scoring-Kriterium mehr);;;;;;;;;;;;;;;;
Blau = vom Nutzer aenderbar · Score-Formel in Spalte M · K.O.-Flag in Spalte P;;;;;;;;;;;;;;;;
Abschn.;Abt.;Gruppe;Klasse;Bezeichnung (EN);"Aktivitaet
(Kurzform DE)";"C1
Projekt-
spez.
(1-3)";"C2
Markt-
transp.
(1-3)";"C3
Kunden-
profil
(1-3)";"C4
Supplier
Fragm.
(1-3)";"C6
Markt-
groesse
(1-3)";"C7
Kein
Matching
(1-3)";"Score
/10";Ampel;Empfehlung;"K.O.-
Flag";Hinweis / Kunden-Perspektive
C;20;20.5;20.52;Manufacture of glues;;2;2;2;3;1;2;6,9;MID;Prio 2 GUT;;Klebstoffe: Kundenspezifische Entwicklung – B2B-Projekt
C;20;20.5;20.53;Manufacture of essential oils;;2;3;3;3;1;2;8,1;HI;Prio 1 TOP;;Aetherische Oele: Kunden sind Nischen-Hersteller | Atherische Oele: Spezialentwicklung
C;20;20.5;20.59;Manufacture of other chemical products n.e.c.;;2;3;3;3;2;2;8,4;HI;Prio 1 TOP;;Spezialchemie-Lohnproduktion: Kunden haben selten Erfahrung | Spezialchemie: Kundenentwicklung – starkes B2B-Projektgeschaeft
C;20;20.6;20.60;Manufacture of man-made fibres;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;Chemiefasern: Neuentwicklungen fuer Composites/Medizin – Projektgeschaeft
;Abt. 21;;;;;;;;;;;;;;;
C;21;21.1;21.10;Manufacture of basic pharmaceutical products;;3;1;1;3;3;3;7,5;HI;Prio 2 GUT;;KORREKTUR: Kunden von API-Herstellern sind professionelle Pharmakonzerne mit PSL – kein haystacked-Markt auf Kundenseite | KERN: Pharma-API – GMP-Facility, Biotech-Entwicklung
C;21;21.2;21.20;Manufacture of pharmaceutical preparations;;3;1;1;3;3;3;7,5;HI;Prio 2 GUT;;KORREKTUR: Kunden von Arzneimittelherstellern sind professionelle Grosshaendler/Apotheken mit PSL – kein haystacked-Markt | KERN: Arzneimittel-Herstellung – GMP, CDMO-Boom
;Abt. 22;;;;;;;;;;;;;;;
C;22;22.1;22.11;"Manufacture of rubber tyres and tubes; retreading";;2;1;1;2;2;2;5,4;MID;Pruefen;;Reifen: Spezialentwicklung fuer Industrie/Agrar
C;22;22.1;22.19;Manufacture of other rubber products;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Gummi-Lohnfertigung: Kunden teils Einzel-Projekt | Gummi-Spezialteile: Kundenprojekte fuer Dichtungen, Daempfungselemente
C;22;22.2;22.21;Manufacture of plastic plates, sheets, tubes and profiles;;2;1;1;2;2;2;5,4;MID;Pruefen;;Kunststoff-Halbzeuge: Spezialentwicklung
C;22;22.2;22.22;Manufacture of plastic packing goods;;2;1;1;2;2;2;5,4;MID;Pruefen;;Kunststoffverpackung: Spezialloesungen
C;22;22.2;22.23;Manufacture of builders' ware of plastic;;1;1;1;2;1;2;4,3;MID;Pruefen;;Kunststoff-Bauteile
C;22;22.2;22.29;Manufacture of other plastic products;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Kunststoff-Lohnfertigung: Kunden teils Einzel-Projekt | Kunststoff-Spezialteile: Kundenprojekte
;Abt. 23;;;;;;;;;;;;;;;
C;23;23.1;23.11;Manufacture of flat glass;;2;1;1;2;2;2;5,4;MID;Pruefen;;Flachglas: Spezialentwicklung fuer Bau/Auto
C;23;23.1;23.12;Shaping and processing of flat glass;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Glasbearbeitung: Kunden teils Einzel-Projekt | Glasbearbeitung: Spezialanfertigungen
C;23;23.1;23.13;Manufacture of hollow glass;;2;1;1;2;2;2;5,4;MID;Pruefen;;Hohlglas: Spezialflaschen-Entwicklung
C;23;23.1;23.14;Manufacture of glass fibres;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Glasfaser: Composites-Wachstum
C;23;23.1;23.19;Manufacture and processing of other glass, incl. technical glassware;;2;3;3;3;2;2;8,4;HI;Prio 1 TOP;;Technisches Glas: Kunden sind Labortechnik/Optik, selten | Technisches Glas: Labor/Medtech/Optik – Entwicklungsprojekte
C;23;23.2;23.20;Manufacture of refractory products;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Feuerfest-Produkte: Spezialanfertigungen
C;23;23.3;23.31;Manufacture of ceramic tiles and flags;;1;1;1;2;1;2;4,3;MID;Pruefen;;Keramikfliesen: wenig Projektgeschaeft
C;23;23.3;23.32;Manufacture of bricks, tiles and construction products, in baked clay;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Ziegel: Anlagen-Engineering
C;23;23.4;23.41;Manufacture of ceramic household and ornamental articles;;1;1;1;1;1;2;3,8;LO;Niedrig;;Haushaltskeramik: kaum B2B-Projekt
C;23;23.4;23.42;Manufacture of ceramic sanitary fixtures;;1;1;1;2;1;2;4,3;MID;Pruefen;;Sanitaerkeramik: Anlagen
C;23;23.4;23.43;Manufacture of ceramic insulators and insulating fittings;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Keramik-Isolatoren: Spezialanfertigungen
C;23;23.4;23.44;Manufacture of other technical ceramic products;;3;3;3;3;2;3;9,7;HI;Prio 1 TOP;;Technische Keramik: Kunden sind Medtech/Halbleiter, sehr speziell | Technische Keramik: Medtech/Halbleiter/Energie – Entwicklungsprojekte
C;23;23.4;23.49;Manufacture of other ceramic products;;1;1;1;2;1;2;4,3;MID;Pruefen;;Sonstige Keramik
C;23;23.5;23.51;Manufacture of cement;;2;1;1;2;2;2;5,4;MID;Pruefen;;Zement: Anlagen-Engineering, CO2-Reduktion
C;23;23.5;23.52;Manufacture of lime and plaster;;1;1;1;2;1;2;4,3;MID;Pruefen;;Kalk/Gips
C;23;23.6;23.61;Manufacture of concrete products for construction purposes;;2;1;1;2;2;2;5,4;MID;Pruefen;;Betonfertigteile: Produktentwicklung fuer Spezialanwendungen
C;23;23.6;23.62;Manufacture of plaster products for construction purposes;;1;1;1;2;1;2;4,3;MID;Pruefen;;Gipsprodukte
C;23;23.6;23.63;Manufacture of ready-mixed concrete;;1;1;1;2;1;2;4,3;MID;Pruefen;;Transportbeton
C;23;23.6;23.64;Manufacture of mortars;;1;1;1;2;1;2;4,3;MID;Pruefen;;Moertel
C;23;23.6;23.65;Manufacture of fibre cement;;2;1;1;2;1;2;5,2;MID;Pruefen;;Faserzement
C;23;23.6;23.69;Manufacture of other articles of concrete, plaster and cement;;2;1;1;2;1;2;5,2;MID;Pruefen;;Betonprodukte
C;23;23.7;23.70;Cutting, shaping and finishing of stone;;1;2;2;2;1;2;5,6;MID;Pruefen;;Steinbearbeitung
C;23;23.9;23.91;Production of abrasive products;;2;1;1;2;1;2;5,2;MID;Pruefen;;Schleifmittel: Spezialentwicklung
C;23;23.9;23.99;Manufacture of other non-metallic mineral products n.e.c.;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Sonstige Mineralprodukte
;Abt. 24;;;;;;;;;;;;;;;
C;24;24.1;24.10;Manufacture of basic iron and steel and of ferro-alloys;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;Stahl: Kunden sind Industrie, professionell | Stahl: Engineering-Projekte, Retrofit
C;24;24.2;24.20;Manufacture of tubes, pipes, hollow profiles, of steel;;2;1;1;2;2;2;5,4;MID;Pruefen;;Stahlrohre: Spezialanfertigungen
C;24;24.3;24.31;Cold drawing of bars;;2;1;1;2;1;2;5,2;MID;Pruefen;;Kaltziehen: Anlagen-Engineering
C;24;24.3;24.32;Cold rolling of narrow strip;;2;1;1;2;1;2;5,2;MID;Pruefen;;Kaltwalzen
C;24;24.3;24.33;Cold forming or folding;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Kaltumformung: Kunden teils Einzel-Projekt | Kaltumformen
C;24;24.3;24.34;Cold drawing of wire;;2;1;1;2;1;2;5,2;MID;Pruefen;;Drahtziehen
C;24;24.4;24.41;Precious metals production;;2;1;1;2;1;2;5,2;MID;Pruefen;;Edelmetalle: Speziallegierungen
C;24;24.4;24.42;Aluminium production;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;;Aluminium-Huette: komplex
C;24;24.4;24.43;Lead, zinc and tin production;;2;1;1;2;1;2;5,2;MID;Pruefen;;Buntmetalle
C;24;24.4;24.44;Copper production;;2;1;1;2;1;2;5,2;MID;Pruefen;;Kupfer
C;24;24.4;24.45;Other non-ferrous metal production;;3;2;2;3;2;2;8,0;HI;Prio 1 TOP;;NE-Metalle fuer EV: Kunden sind Batteriehersteller, wachsend | NE-Metalle fuer Batterien/EV: waechst
C;24;24.5;24.51;Casting of iron;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Eisenguss-Lohnfertigung: Kunden gelegentlich | Eisengiessen: Spezialteile
C;24;24.5;24.52;Casting of steel;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Stahlgiessen
C;24;24.5;24.53;Casting of light metals;;3;2;2;3;2;2;8,0;HI;Prio 1 TOP;;Aluguss: Kunden teils Einzel-Auftrag | Aluguss-Lohnfertigung: EV-Leichtbau
C;24;24.5;24.54;Casting of other non-ferrous metals;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;NE-Metallgiessen
;Abt. 25;;;;;;;;;;;;;;;
C;25;25.1;25.11;Manufacture of metal structures and parts of structures;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Stahlbau: Kunden sind Industrie/Bau, gelegentlich | Stahlbau: Engineering fuer Industriehallen
C;25;25.1;25.12;Manufacture of doors and windows of metal;;1;1;1;2;1;2;4,3;MID;Pruefen;;Metallfenster
C;25;25.2;25.21;Manufacture of central heating radiators and boilers;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Heizungsanlagen
C;25;25.2;25.29;Manufacture of other tanks, reservoirs and containers of metal;;3;3;3;3;2;2;9,2;HI;Prio 1 TOP;;Druckbehaelter: Kunden sind Chemie/Pharma, selten | Druckbehaelter-Lohnfertigung: Chemie, Pharma
C;25;25.3;25.30;Manufacture of steam generators, exc. central heating hot water boilers;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;;Dampferzeugung: Prozessindustrie
C;25;25.4;25.40;Manufacture of weapons and ammunition;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Defence Manufacturing: EU-Aufruestung, teils oeffentlich
C;25;25.5;25.50;"Forging, pressing, stamping and roll-forming of metal; powder metallurgy";;3;3;3;3;2;2;9,2;HI;Prio 1 TOP;;Schmieden: Kunden sind Aerospace/Automotive/Energie, speziell | Schmiede-Lohnfertigung: hochspezialisiert
C;25;25.6;25.61;Treatment and coating of metals;;3;3;3;3;2;2;9,2;HI;Prio 1 TOP;;Oberflaechenbehandlung: Kunden suchen aktiv, fragmentierter Markt | Galvanik, Beschichtung, Waermebehandlung: Lohndienstleistung
C;25;25.6;25.62;Machining;;3;3;3;3;3;2;9,5;HI;Prio 1 TOP;;"CNC-Lohnfertigung: Kunden (KMU-Entwickler) finden Anbieter schwer – aber Plattformen exist. | Supplier = CNC-Lohnfertiger (Zerspanung als Dienstleistung); NICHT Herstellung von CNC-Maschinen | CNC-Lohnfertigung: KERN-SUPPLIER - sehr fragmentiert"
C;25;25.7;25.71;Manufacture of cutlery;;1;1;1;1;1;2;3,8;LO;Niedrig;;Besteck: kaum Projektgeschaeft
C;25;25.7;25.72;Manufacture of locks and hinges;;1;1;1;2;1;2;4,3;MID;Pruefen;;Schloesser: Spezialentwicklung fuer Industrie
C;25;25.7;25.73;Manufacture of tools;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Werkzeugbau: Kunden teils Einzel-Auftrag | Werkzeugbau: Sonderwerkzeuge fuer Kunden
C;25;25.9;25.91;Manufacture of steel drums and similar containers;;2;1;1;2;1;2;5,2;MID;Pruefen;;Metallbehaelter
C;25;25.9;25.92;Manufacture of light metal packaging;;2;1;1;2;2;2;5,4;MID;Pruefen;;Metallverpackung
C;25;25.9;25.93;Manufacture of wire products, chain and springs;;1;2;2;2;1;2;5,6;MID;Pruefen;;Drahtprodukte
C;25;25.9;25.94;Manufacture of fasteners and screw machine products;;1;1;1;2;1;2;4,3;MID;Pruefen;;Verbindungselemente
C;25;25.9;25.99;Manufacture of other fabricated metal products n.e.c.;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Metallprodukte sonstige
;Abt. 26;;;;;;;;;;;;;;;
C;26;26.1;26.11;Manufacture of electronic components;;3;1;1;2;3;2;6,5;MID;Prio 2 GUT;;Halbleiter: Kunden sind Elektronikkonzerne, professionell | Halbleiter-Fertigung: EU Chips Act – Fab-Engineering komplex
C;26;26.1;26.12;Manufacture of loaded electronic boards;;3;2;2;3;3;2;8,3;HI;Prio 1 TOP;;"EMS: Kunden sind Elektronikentwickler, teils Einzel-Projekt | Supplier = EMS-Lohnbestücker (Elektronikfertigung als Dienstleistung); NICHT Hersteller von Bestueckungsmaschinen | EMS Lohnbestueckung - grosser fragmentierter Markt"
C;26;26.2;26.20;Manufacture of computers and peripheral equipment;;2;1;1;2;2;2;5,4;MID;Pruefen;;Computer: Spezialloesungen
C;26;26.3;26.30;Manufacture of communication equipment;;2;1;1;2;2;2;5,4;MID;Pruefen;;Kommunikationsgerate
C;26;26.4;26.40;Manufacture of consumer electronics;;2;1;1;1;2;2;4,9;MID;Pruefen;;Unterhaltungselektronik: wenig EU-Fertigung
C;26;26.5;26.51;Manufacture of instruments and appliances for measuring, testing, navigation;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Messtechnik: Kunden teils Einzel-Projekt | Messtechnik: Spezialentwicklung fuer Kunden
C;26;26.5;26.52;Manufacture of watches and clocks;;1;2;2;1;1;2;5,1;MID;Pruefen;;Uhren: kaum B2B-Projekt
C;26;26.6;26.60;Manufacture of irradiation, electromedical and electrotherapeutic equipment;;3;2;2;3;2;3;8,5;HI;Prio 1 TOP;;Elektromed.Geraete: Kunden sind Medizineinrichtungen | Medizintechnik: GMP-Fertigungslinien, MDR-getrieben
C;26;26.7;26.70;Manufacture of optical instruments and photographic equipment;;2;2;2;3;2;2;7,2;HI;Prio 2 GUT;;Optik: Kunden teils Einzel-Auftrag | Optik: Spezialentwicklung
C;26;26.8;26.80;Manufacture of magnetic and optical media;;1;1;1;1;1;2;3,8;LO;Niedrig;;Datentrieger: Nischenmarkt
;Abt. 27;;;;;;;;;;;;;;;
C;27;27.1;27.11;Manufacture of electric motors, generators and transformers;;2;1;1;2;2;2;5,4;MID;Pruefen;;Elektromotoren: Sonderentwicklung
C;27;27.1;27.12;Manufacture of electricity distribution and control apparatus;;2;1;1;2;2;2;5,4;MID;Pruefen;;Schaltanlagen: Grid-Komponenten
C;27;27.2;27.20;Manufacture of batteries and accumulators;;3;1;1;2;3;2;6,5;MID;Prio 2 GUT;;Batterien: Kunden sind EV-Hersteller, professionell | Gigafactory-Engineering: sehr komplex, waechst stark
C;27;27.3;27.31;Manufacture of fibre optic cables;;2;1;1;2;2;2;5,4;MID;Pruefen;;Glasfaserkabel
C;27;27.3;27.32;Manufacture of other electronic and electric wires and cables;;2;1;1;2;2;2;5,4;MID;Pruefen;;Kabel: Spezialanfertigungen
C;27;27.3;27.33;Manufacture of wiring devices;;1;1;1;2;1;2;4,3;MID;Pruefen;;Installationsmaterial
C;27;27.4;27.40;Manufacture of electric lighting equipment;;2;1;1;2;1;2;5,2;MID;Pruefen;;Beleuchtung: Spezialentwicklung
C;27;27.5;27.51;Manufacture of electric domestic appliances;;1;1;1;1;2;2;4,1;MID;Pruefen;;Haushaltsgeraete: PSL, kaum Projektgeschaeft
C;27;27.5;27.52;Manufacture of non-electric domestic appliances;;1;1;1;1;1;2;3,8;LO;Niedrig;;Nicht-el. Haushaltsgeraete
C;27;27.9;27.90;Manufacture of other electrical equipment;;2;1;1;2;2;2;5,4;MID;Pruefen;;Sonstige Elektrotechnik
;Abt. 28;;;;;;;;;;;;;;;
C;28;28.1;28.11;Manufacture of engines and turbines, exc. aircraft, vehicle and cycle engines;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Turbinen: Energiesektor
C;28;28.1;28.12;Manufacture of fluid power equipment;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Fluidtechnik
C;28;28.1;28.13;Manufacture of other pumps and compressors;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Pumpen/Kompressoren
C;28;28.1;28.14;Manufacture of other taps and valves;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Armaturen: Spezialanfertigungen
C;28;28.1;28.15;Manufacture of bearings, gears, gearing and driving elements;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Getriebe/Lager
C;28;28.2;28.21;Manufacture of ovens, furnaces and furnace burners;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Industrieofen: Engineering
C;28;28.2;28.22;Manufacture of lifting and handling equipment;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Buyer = Fördertechnik-Hersteller schreibt Engineering aus | Hebetechnik: Intralogistik
C;28;28.2;28.23;Manufacture of office machinery and equipment (exc. computers);;1;1;1;1;1;2;3,8;LO;Niedrig;;Bueromatik: kaum relevant
C;28;28.2;28.24;Manufacture of power-driven hand tools;;1;1;1;1;1;2;3,8;LO;Niedrig;;Handwerkzeuge: Spezialentwicklung moeglich
C;28;28.2;28.25;Manufacture of non-domestic cooling and ventilation equipment;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;HVAC-Industrie
C;28;28.2;28.29;Manufacture of other general-purpose machinery n.e.c.;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Allgemeine Maschinen
C;28;28.3;28.30;Manufacture of agricultural and forestry machinery;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Agrarmaschinen: Praezisionslandwirtschaft
C;28;28.4;28.41;Manufacture of metal forming machinery;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Buyer = Maschinenhersteller schreibt Engineering-Projekte aus (nicht: Herstellung der Maschinen selbst) | Umformmaschinen
C;28;28.4;28.49;Manufacture of other machine tools;;3;2;2;3;2;2;8,0;HI;Prio 1 TOP;;"Buyer = Werkzeugmaschinenhersteller schreibt Engineering aus; 25.62 ist die eigentliche Lohnfertigung | Werkzeugmaschinen: Retrofit-Bedarf"
C;28;28.9;28.91;Manufacture of machinery for metallurgy;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;;Huttenmaschinen
C;28;28.9;28.92;Manufacture of machinery for mining, quarrying and construction;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Bergbaumaschinen
C;28;28.9;28.93;Manufacture of machinery for food, beverage and tobacco processing;;3;2;2;3;2;3;8,5;HI;Prio 1 TOP;;Nahrungsmittelmaschinen: Kunden sind F&B-Hersteller, gelegentlich | Buyer = Nahrungsmittelmaschinen-Hersteller schreibt Engineering/Lohnfertigung aus | Food-Maschinen: Engineering fuer neue Linien
C;28;28.9;28.94;Manufacture of machinery for textile, apparel and leather production;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Buyer = Textilmaschinen-Hersteller schreibt Engineering aus | Textilmaschinen
C;28;28.9;28.95;Manufacture of machinery for paper and paperboard production;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Papiermaschinen
C;28;28.9;28.96;Manufacture of plastics and rubber machinery;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Kunststoffmaschinen
C;28;28.9;28.99;Manufacture of other special-purpose machinery n.e.c.;;3;2;2;3;2;2;8,0;HI;Prio 1 TOP;;Sondermaschinen: Engineering-Ausschreibungen
;Abt. 29;;;;;;;;;;;;;;;
C;29;29.1;29.10;Manufacture of motor vehicles;;3;1;1;2;3;2;6,5;MID;Prio 2 GUT;;OEM: Kunden sind Autohaendler/Importeure, professionell | OEM: EV-Linien, Tier-1 offen
C;29;29.2;29.20;"Manufacture of bodies (coachwork) for motor vehicles; trailers";;2;1;1;2;2;2;5,4;MID;Pruefen;;Fahrzeugaufbauten
C;29;29.3;29.31;Manufacture of electrical and electronic equipment for motor vehicles;;3;1;1;2;2;2;6,3;MID;Prio 2 GUT;;EV-Komponenten: waechst
C;29;29.3;29.32;Manufacture of other parts and accessories for motor vehicles;;3;2;2;3;3;3;8,8;HI;Prio 1 TOP;;Automotive Zulieferer: Kunden sind Tier-1/OEM, professionell | Tier-2/3-Zulieferer: Automatisierung, Einmal-Buyer
;Abt. 30;;;;;;;;;;;;;;;
C;30;30.1;30.11;Building of ships and floating structures;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;;Schiffbau: Kunden teils Einzel-Auftrag | Schiffbau: komplex
C;30;30.1;30.12;Building of pleasure and sporting boats;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Sportboote
C;30;30.2;30.20;Manufacture of railway locomotives and rolling stock;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Bahntechnik: teils oeffentlich
C;30;30.3;30.30;Manufacture of air and spacecraft and related machinery;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Aerospace: EASA-reguliert, PSL
C;30;30.4;30.40;Manufacture of military fighting vehicles;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Defence-Fahrzeuge: EU-Aufruestung
C;30;30.9;30.91;Manufacture of motorcycles;;2;1;1;2;1;2;5,2;MID;Pruefen;;Motorraeder: Spezialentwicklung
C;30;30.9;30.92;Manufacture of bicycles and invalid carriages;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;E-Bikes: Entwicklungsprojekte
C;30;30.9;30.99;Manufacture of other transport equipment n.e.c.;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Sonstige Fahrzeuge
;Abt. 31;;;;;;;;;;;;;;;
C;31;31.0;31.01;Manufacture of office and shop furniture;;1;2;2;2;1;2;5,6;MID;Pruefen;;Moebel: Spezialeinrichtung fuer Labore/Reinraeume – nische
C;31;31.0;31.02;Manufacture of kitchen furniture;;1;1;1;2;1;2;4,3;MID;Pruefen;;Kuechenmoebel: kaum B2B-Projekt
C;31;31.0;31.03;Manufacture of mattresses;;1;1;1;2;1;2;4,3;MID;Pruefen;;Matratzen: Spezialentwicklung fuer Medizin/Hotels
C;31;31.0;31.09;Manufacture of other furniture;;1;2;2;2;1;2;5,6;MID;Pruefen;;Sonstige Moebel: Reinraum-Moebel
;Abt. 32;;;;;;;;;;;;;;;
C;32;32.1;32.11;Striking of coins;;0;0;0;0;0;0;0,0;---;---;;Muenzpraegung: staatlich
C;32;32.1;32.12;Manufacture of jewellery and related articles;;1;2;2;2;1;2;5,6;MID;Pruefen;;Schmuck: Spezialentwicklung
C;32;32.1;32.13;Manufacture of imitation jewellery and related articles;;1;1;1;1;1;2;3,8;LO;Niedrig;;Modeschmuck
C;32;32.2;32.20;Manufacture of musical instruments;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Instrumente: Spezialentwicklung fuer Profis
C;32;32.3;32.30;Manufacture of sports goods;;2;1;1;2;1;2;5,2;MID;Pruefen;;Sportgeraete: Spezialentwicklung
C;32;32.4;32.40;Manufacture of games and toys;;1;1;1;2;1;2;4,3;MID;Pruefen;;Spielzeug: Entwicklungsprojekte moeglich
C;32;32.5;32.50;Manufacture of medical and dental instruments and supplies;;3;2;2;3;2;3;8,5;HI;Prio 1 TOP;;Medizinprodukte: Kunden sind Kliniken/Praxen, teils professionell | Medizintechnik: GMP-Fertigung, MDR-getrieben
C;32;32.9;32.91;Manufacture of brooms and brushes;;1;1;1;1;1;2;3,8;LO;Niedrig;;Buersten: kaum B2B-Projekt
C;32;32.9;32.99;Other manufacturing n.e.c.;;2;2;2;2;1;2;6,4;MID;Prio 2 GUT;;Sonstige Herstellung
;Abt. 33;;;;;;;;;;;;;;;
C;33;33.1;33.11;Repair of fabricated metal products;;1;2;2;2;2;2;5,8;MID;Pruefen;;Reparatur Metallprodukte: Kunden gelegentlich | Metallreparatur: Auftragsarbeit
C;33;33.1;33.12;Repair of machinery;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Maschinenreparatur: Kunden gelegentlich | Maschinenreparatur: O&M-Projekte
C;33;33.1;33.13;Repair of electronic and optical equipment;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Elektronik-Reparatur
C;33;33.1;33.14;Repair of electrical equipment;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Elektroreparatur
C;33;33.1;33.15;Repair and maintenance of ships and boats;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Schiffbau MRO: Kunden gelegentlich | Schiffbau MRO
C;33;33.1;33.16;Repair and maintenance of aircraft and spacecraft;;3;3;3;2;2;2;8,7;HI;Prio 1 TOP;;Aerospace MRO: Kunden speziell, selten | Aerospace MRO: spezialisiert
C;33;33.1;33.17;Repair and maintenance of other transport equipment;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Transport-MRO
C;33;33.1;33.19;Repair of other equipment;;2;2;2;2;2;2;6,7;MID;Prio 2 GUT;;Sonstige Reparatur
C;33;33.2;33.20;Installation of industrial machinery and equipment;;3;3;3;3;3;3;10,0;HI;Prio 1 TOP;;Maschineninstallation/Systemintegration: Kunden sind Industrie mit seltenen Projekten – KERN-MARKT | KERN: Systemintegratoren – direkter haystacked Supplier
ABSCHNITT D – Electricity, Gas, Steam;;;;;;;;;;;;;;;;
;Abt. 35;;;;;;;;;;;;;;;
D;35;35.1;35.11;Production of electricity;;3;2;2;2;3;2;7,8;HI;Prio 2 GUT;WARNUNG;Stromerzeugung: Kunden sind Netzbetreiber/Grosskunden, teils professionell | WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Kraftwerk: IPPs als Buyer
D;35;35.1;35.12;Transmission of electricity;;2;1;1;1;2;2;4,9;MID;Pruefen;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Grid: teils oeffentlich, PSL
D;35;35.1;35.13;Distribution of electricity;;2;1;1;1;2;2;4,9;MID;Pruefen;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Verteilung: teils oeffentlich
D;35;35.1;35.14;Trade of electricity;;1;1;1;1;1;2;3,8;LO;Niedrig;;Stromhandel: kein Engineering
D;35;35.2;35.21;Manufacture of gas;;3;2;2;2;2;2;7,5;HI;Prio 2 GUT;;Gas: Kunden teils neue H2-Projekte | Gasaufbereitung: Wasserstoff-Boom
D;35;35.2;35.22;Distribution of gaseous fuels through mains;;2;1;1;1;2;2;4,9;MID;Pruefen;WARNUNG;WARNUNG: Teils öffentlich – nur privaten Anteil betrachten | Gasverteilung: teils oeffentlich
D;35;35.2;35.23;Trade of gas through mains;;1;1;1;1;1;2;3,8;LO;Niedrig;;Gashandel: kein Engineering
D;35;35.3;35.30;Steam and air conditioning supply;;2;3;3;3;2;2;8,4;HI;Prio 1 TOP;;Fernwaerme: Kunden sind Kommunen/Industrie, Einmal-Projekte | Fernwaerme: Einmal-Buyer, Energiewende
ABSCHNITT E – Water, Sewerage, Waste;;;;;;;;;;;;;;;;
;Abt. 36;;;;;;;;;;;;;;;
